Roi,Fast Period,Slow Period,high & low Period,high & low Error,Gain Value
0.021812760000000077,2,3,14,0.1,4.0
0.0224967600000001,2,4,14,0.1,4.0
0.021660759999999998,2,5,14,0.1,4.0
0.021660759999999998,2,6,14,0.1,4.0
0.01835475999999998,2,7,14,0.1,4.0
0.01835475999999998,2,8,14,0.1,4.0
0.018685360000000158,2,9,14,0.1,4.0
0.02105276000000012,2,10,14,0.1,4.0
0.018164760000000155,2,11,14,0.1,4.0
0.02095700000000018,2,12,14,0.1,4.0
0.02291096000000003,2,13,14,0.1,4.0
0.02252905999999994,2,14,14,0.1,4.0
0.02264876000000018,2,15,14,0.1,4.0
0.02356532,2,16,14,0.1,4.0
0.01809370000000001,2,17,14,0.1,4.0
0.01809370000000001,2,18,14,0.1,4.0
0.023870840000000157,2,19,14,0.1,4.0
0.01809370000000001,2,20,14,0.1,4.0
0.0,2,21,14,0.1,4.0
0.0,2,22,14,0.1,4.0
0.02227292480000002,2,23,14,0.1,4.0
0.0,2,24,14,0.1,4.0
0.022352359999999835,2,25,14,0.1,4.0
0.0,2,26,14,0.1,4.0
0.0,2,27,14,0.1,4.0
0.018781120000000037,2,28,14,0.1,4.0
0.019086639999999974,2,29,14,0.1,4.0
0.0,2,30,14,0.1,4.0
0.0,2,31,14,0.1,4.0
0.0,2,32,14,0.1,4.0
0.0,2,33,14,0.1,4.0
0.0,2,34,14,0.1,4.0
0.0,2,35,14,0.1,4.0
0.0,2,36,14,0.1,4.0
0.0,2,37,14,0.1,4.0
0.0,2,38,14,0.1,4.0
0.0,2,39,14,0.1,4.0
0.0,2,40,14,0.1,4.0
0.0,2,41,14,0.1,4.0
0.0,2,42,14,0.1,4.0
0.0,2,43,14,0.1,4.0
0.018410620000000166,2,44,14,0.1,4.0
0.0,2,45,14,0.1,4.0
0.0,2,46,14,0.1,4.0
0.0,2,47,14,0.1,4.0
0.0,2,48,14,0.1,4.0
0.024792719999999973,2,49,14,0.1,4.0
0.024487200000000035,2,50,14,0.1,4.0
0.0,3,3,14,0.1,4.0
0.0224967600000001,3,4,14,0.1,4.0
0.019000760000000044,3,5,14,0.1,4.0
0.019000760000000044,3,6,14,0.1,4.0
0.019000760000000044,3,7,14,0.1,4.0
0.02095700000000018,3,8,14,0.1,4.0
0.02095700000000018,3,9,14,0.1,4.0
0.02095700000000018,3,10,14,0.1,4.0
