Roi,Fast Period,Slow Period,high & low Period,high & low Error,Gain Value
0.0,2,40,18,0.1,4.0
0.0,2,41,18,0.1,4.0
0.0,2,42,18,0.1,4.0
0.0,2,43,18,0.1,4.0
0.0,2,44,18,0.1,4.0
0.0,2,45,18,0.1,4.0
0.0,2,46,18,0.1,4.0
0.0,2,47,18,0.1,4.0
0.0,2,48,18,0.1,4.0
0.024792719999999973,2,49,18,0.1,4.0
0.024487200000000035,2,50,18,0.1,4.0
0.0250176800000002,2,51,18,0.1,4.0
0.02486492000000012,2,52,18,0.1,4.0
0.0,2,53,18,0.1,4.0
0.0,2,54,18,0.1,4.0
0.0,2,55,18,0.1,4.0
0.0,2,56,18,0.1,4.0
0.0,2,57,18,0.1,4.0
0.0,2,58,18,0.1,4.0
0.01832284000000002,2,59,18,0.1,4.0
0.018475599999999877,2,60,18,0.1,4.0
0.018475599999999877,2,61,18,0.1,4.0
0.018857499999999965,2,62,18,0.1,4.0
0.0,2,63,18,0.1,4.0
0.0,2,64,18,0.1,4.0
0.0,2,65,18,0.1,4.0
0.0,2,66,18,0.1,4.0
0.0,2,67,18,0.1,4.0
0.0,2,68,18,0.1,4.0
0.0,2,69,18,0.1,4.0
0.0,2,70,18,0.1,4.0
0.0,2,71,18,0.1,4.0
0.0,2,72,18,0.1,4.0
0.0,2,73,18,0.1,4.0
0.0,2,74,18,0.1,4.0
0.0,2,75,18,0.1,4.0
0.0,2,76,18,0.1,4.0
0.0,2,77,18,0.1,4.0
0.0,2,78,18,0.1,4.0
0.0,2,79,18,0.1,4.0
0.0,2,80,18,0.1,4.0
0.0,3,40,18,0.1,4.0
0.0,3,41,18,0.1,4.0
0.0,3,42,18,0.1,4.0
0.0,3,43,18,0.1,4.0
0.0,3,44,18,0.1,4.0
0.0,3,45,18,0.1,4.0
0.0,3,46,18,0.1,4.0
0.0,3,47,18,0.1,4.0
0.0,3,48,18,0.1,4.0
0.0,3,49,18,0.1,4.0
0.0,3,50,18,0.1,4.0
0.0,3,51,18,0.1,4.0
