Roi,Fast Period,Slow Period,high & low Period,high & low Error,Gain Value
0.021812760000000077,2,3,16,0.1,4.0
0.0224967600000001,2,4,16,0.1,4.0
0.021660759999999998,2,5,16,0.1,4.0
0.021660759999999998,2,6,16,0.1,4.0
0.01835475999999998,2,7,16,0.1,4.0
0.01835475999999998,2,8,16,0.1,4.0
0.018685360000000158,2,9,16,0.1,4.0
0.02105276000000012,2,10,16,0.1,4.0
0.0,2,11,16,0.1,4.0
0.02095700000000018,2,12,16,0.1,4.0
0.02291096000000003,2,13,16,0.1,4.0
0.02291096000000003,2,14,16,0.1,4.0
0.02264876000000018,2,15,16,0.1,4.0
0.02356532,2,16,16,0.1,4.0
0.01809370000000001,2,17,16,0.1,4.0
0.01809370000000001,2,18,16,0.1,4.0
0.023870840000000157,2,19,16,0.1,4.0
0.01809370000000001,2,20,16,0.1,4.0
0.0,2,21,16,0.1,4.0
0.0,2,22,16,0.1,4.0
0.02227292480000002,2,23,16,0.1,4.0
0.0,2,24,16,0.1,4.0
0.022352359999999835,2,25,16,0.1,4.0
0.0,2,26,16,0.1,4.0
0.0,2,27,16,0.1,4.0
0.018781120000000037,2,28,16,0.1,4.0
0.019086639999999974,2,29,16,0.1,4.0
0.0,2,30,16,0.1,4.0
0.0,2,31,16,0.1,4.0
0.0,2,32,16,0.1,4.0
0.0,2,33,16,0.1,4.0
0.0,2,34,16,0.1,4.0
0.0,2,35,16,0.1,4.0
0.0,2,36,16,0.1,4.0
0.0,2,37,16,0.1,4.0
0.0,2,38,16,0.1,4.0
0.0,2,39,16,0.1,4.0
0.0,2,40,16,0.1,4.0
0.0,2,41,16,0.1,4.0
0.0,2,42,16,0.1,4.0
0.0,2,43,16,0.1,4.0
0.018410620000000166,2,44,16,0.1,4.0
0.0,2,45,16,0.1,4.0
0.0,2,46,16,0.1,4.0
0.0,2,47,16,0.1,4.0
0.0,2,48,16,0.1,4.0
0.024792719999999973,2,49,16,0.1,4.0
0.024487200000000035,2,50,16,0.1,4.0
0.0,3,3,16,0.1,4.0
0.0224967600000001,3,4,16,0.1,4.0
0.019000760000000044,3,5,16,0.1,4.0
0.019000760000000044,3,6,16,0.1,4.0
0.019000760000000044,3,7,16,0.1,4.0
0.02095700000000018,3,8,16,0.1,4.0
0.02095700000000018,3,9,16,0.1,4.0
0.02095700000000018,3,10,16,0.1,4.0
0.022268760000000096,3,11,16,0.1,4.0
0.02291096000000003,3,12,16,0.1,4.0
0.022458760000000137,3,13,16,0.1,4.0
0.022458760000000137,3,14,16,0.1,4.0
0.022458760000000137,3,15,16,0.1,4.0
0.018435319999999915,3,16,16,0.1,4.0
0.0,3,17,16,0.1,4.0
0.0,3,18,16,0.1,4.0
0.022179080000000156,3,19,16,0.1,4.0
0.0,3,20,16,0.1,4.0
0.0,3,21,16,0.1,4.0
0.0,3,22,16,0.1,4.0
0.0,3,23,16,0.1,4.0
0.0,3,24,16,0.1,4.0
0.0,3,25,16,0.1,4.0
0.0,3,26,16,0.1,4.0
0.020379020000000123,3,27,16,0.1,4.0
0.0,3,28,16,0.1,4.0
0.019086639999999974,3,29,16,0.1,4.0
0.018933879999999896,3,30,16,0.1,4.0
0.0,3,31,16,0.1,4.0
0.0,3,32,16,0.1,4.0
0.0,3,33,16,0.1,4.0
0.0,3,34,16,0.1,4.0
0.0,3,35,16,0.1,4.0
0.0,3,36,16,0.1,4.0
0.0,3,37,16,0.1,4.0
0.0,3,38,16,0.1,4.0
0.0,3,39,16,0.1,4.0
0.0,3,40,16,0.1,4.0
0.0,3,41,16,0.1,4.0
0.0,3,42,16,0.1,4.0
0.0,3,43,16,0.1,4.0
0.0,3,44,16,0.1,4.0
0.0,3,45,16,0.1,4.0
0.0,3,46,16,0.1,4.0
0.0,3,47,16,0.1,4.0
0.0,3,48,16,0.1,4.0
0.0,3,49,16,0.1,4.0
0.0,3,50,16,0.1,4.0
0.0,4,4,16,0.1,4.0
0.019304759999999983,4,5,16,0.1,4.0
0.019304759999999983,4,6,16,0.1,4.0
0.021736760000000147,4,7,16,0.1,4.0
0.02095700000000018,4,8,16,0.1,4.0
0.022268760000000096,4,9,16,0.1,4.0
0.022268760000000096,4,10,16,0.1,4.0
0.022268760000000096,4,11,16,0.1,4.0
0.022458760000000137,4,12,16,0.1,4.0
0.022458760000000137,4,13,16,0.1,4.0
0.022458760000000137,4,14,16,0.1,4.0
0.02264876000000018,4,15,16,0.1,4.0
0.02356532,4,16,16,0.1,4.0
0.023641700000000147,4,17,16,0.1,4.0
0.023641700000000147,4,18,16,0.1,4.0
0.023870840000000157,4,19,16,0.1,4.0
0.0,4,20,16,0.1,4.0
0.0,4,21,16,0.1,4.0
0.0,4,22,16,0.1,4.0
0.0,4,23,16,0.1,4.0
0.0,4,24,16,0.1,4.0
0.019844359999999953,4,25,16,0.1,4.0
0.019844359999999953,4,26,16,0.1,4.0
0.020302260000000166,4,27,16,0.1,4.0
0.0,4,28,16,0.1,4.0
0.0,4,29,16,0.1,4.0
0.0,4,30,16,0.1,4.0
0.0,4,31,16,0.1,4.0
0.0,4,32,16,0.1,4.0
0.0,4,33,16,0.1,4.0
0.0,4,34,16,0.1,4.0
0.0,4,35,16,0.1,4.0
0.0,4,36,16,0.1,4.0
0.0,4,37,16,0.1,4.0
0.0,4,38,16,0.1,4.0
0.0,4,39,16,0.1,4.0
0.0,4,40,16,0.1,4.0
0.0,4,41,16,0.1,4.0
0.0,4,42,16,0.1,4.0
0.0178752,4,43,16,0.1,4.0
0.018562620000000026,4,44,16,0.1,4.0
0.0,4,45,16,0.1,4.0
0.01802795999999986,4,46,16,0.1,4.0
0.0,4,47,16,0.1,4.0
0.0,4,48,16,0.1,4.0
0.0,4,49,16,0.1,4.0
0.0,4,50,16,0.1,4.0
0.0,5,5,16,0.1,4.0
0.01976076,5,6,16,0.1,4.0
0.02095700000000018,5,7,16,0.1,4.0
0.02291096000000003,5,8,16,0.1,4.0
0.022268760000000096,5,9,16,0.1,4.0
0.022458760000000137,5,10,16,0.1,4.0
