Roi,Fast Period,Slow Period,high & low Period,high & low Error,Gain Value
0.01809370000000001,2,20,15,0.1,3.0
0.0,2,21,15,0.1,3.0
0.0,2,22,15,0.1,3.0
0.02227292480000002,2,23,15,0.1,3.0
0.0,3,20,15,0.1,3.0
0.0,3,21,15,0.1,3.0
0.0,3,22,15,0.1,3.0
0.0,3,23,15,0.1,3.0
0.017903699999999967,4,20,15,0.1,3.0
0.0,4,21,15,0.1,3.0
0.0,4,22,15,0.1,3.0
0.0,4,23,15,0.1,3.0
0.01938570000000013,5,20,15,0.1,3.0
0.019691600000000097,5,21,15,0.1,3.0
0.019615219999999947,5,22,15,0.1,3.0
0.019764924800000142,5,23,15,0.1,3.0
0.01938570000000013,6,20,15,0.1,3.0
0.01938684000000013,6,21,15,0.1,3.0
0.019538459999999994,6,22,15,0.1,3.0
0.019688164800000185,6,23,15,0.1,3.0
0.01915770000000012,7,20,15,0.1,3.0
0.01938684000000013,7,21,15,0.1,3.0
0.0,7,22,15,0.1,3.0
0.019460164800000176,7,23,15,0.1,3.0
0.0,8,20,15,0.1,3.0
0.0,8,21,15,0.1,3.0
0.0,8,22,15,0.1,3.0
0.0,8,23,15,0.1,3.0
