Roi,Fast Period,Slow Period,high & low Period,high & low Error,Gain Value
0.01809370000000001,2,20,16,0.1,4.0
0.0,2,21,16,0.1,4.0
0.0,2,22,16,0.1,4.0
0.02227292480000002,2,23,16,0.1,4.0
0.0,2,24,16,0.1,4.0
0.022352359999999835,2,25,16,0.1,4.0
0.0,2,26,16,0.1,4.0
0.0,2,27,16,0.1,4.0
0.018781120000000037,2,28,16,0.1,4.0
0.019086639999999974,2,29,16,0.1,4.0
0.0,2,30,16,0.1,4.0
0.0,2,31,16,0.1,4.0
0.0,2,32,16,0.1,4.0
0.0,2,33,16,0.1,4.0
0.0,2,34,16,0.1,4.0
0.0,2,35,16,0.1,4.0
0.0,2,36,16,0.1,4.0
0.0,2,37,16,0.1,4.0
0.0,2,38,16,0.1,4.0
0.0,2,39,16,0.1,4.0
0.0,2,40,16,0.1,4.0
0.0,3,20,16,0.1,4.0
0.0,3,21,16,0.1,4.0
0.0,3,22,16,0.1,4.0
0.0,3,23,16,0.1,4.0
0.0,3,24,16,0.1,4.0
0.0,3,25,16,0.1,4.0
0.0,3,26,16,0.1,4.0
0.020379020000000123,3,27,16,0.1,4.0
0.0,3,28,16,0.1,4.0
0.019086639999999974,3,29,16,0.1,4.0
0.018933879999999896,3,30,16,0.1,4.0
0.0,3,31,16,0.1,4.0
0.0,3,32,16,0.1,4.0
0.0,3,33,16,0.1,4.0
0.0,3,34,16,0.1,4.0
0.0,3,35,16,0.1,4.0
0.0,3,36,16,0.1,4.0
0.0,3,37,16,0.1,4.0
0.0,3,38,16,0.1,4.0
0.0,3,39,16,0.1,4.0
0.0,3,40,16,0.1,4.0
0.0,4,20,16,0.1,4.0
0.0,4,21,16,0.1,4.0
0.0,4,22,16,0.1,4.0
0.0,4,23,16,0.1,4.0
0.0,4,24,16,0.1,4.0
0.019844359999999953,4,25,16,0.1,4.0
0.019844359999999953,4,26,16,0.1,4.0
0.020302260000000166,4,27,16,0.1,4.0
0.0,4,28,16,0.1,4.0
0.0,4,29,16,0.1,4.0
0.0,4,30,16,0.1,4.0
0.0,4,31,16,0.1,4.0
0.0,4,32,16,0.1,4.0
0.0,4,33,16,0.1,4.0
0.0,4,34,16,0.1,4.0
0.0,4,35,16,0.1,4.0
0.0,4,36,16,0.1,4.0
0.0,4,37,16,0.1,4.0
0.0,4,38,16,0.1,4.0
0.0,4,39,16,0.1,4.0
0.0,4,40,16,0.1,4.0
0.01938570000000013,5,20,16,0.1,4.0
0.019691600000000097,5,21,16,0.1,4.0
0.019615219999999947,5,22,16,0.1,4.0
0.019764924800000142,5,23,16,0.1,4.0
0.019691220000000068,5,24,16,0.1,4.0
0.0197676,5,25,16,0.1,4.0
0.0197676,5,26,16,0.1,4.0
0.0,5,27,16,0.1,4.0
0.0,5,28,16,0.1,4.0
0.0,5,29,16,0.1,4.0
0.0,5,30,16,0.1,4.0
0.0,5,31,16,0.1,4.0
0.0,5,32,16,0.1,4.0
0.0,5,33,16,0.1,4.0
0.0,5,34,16,0.1,4.0
0.0,5,35,16,0.1,4.0
0.0,5,36,16,0.1,4.0
0.0,5,37,16,0.1,4.0
0.0,5,38,16,0.1,4.0
0.0,5,39,16,0.1,4.0
0.0,5,40,16,0.1,4.0
0.01938570000000013,6,20,16,0.1,4.0
0.0,6,21,16,0.1,4.0
0.019538459999999994,6,22,16,0.1,4.0
0.019688164800000185,6,23,16,0.1,4.0
0.019691220000000068,6,24,16,0.1,4.0
0.0,6,25,16,0.1,4.0
0.0,6,26,16,0.1,4.0
0.0,6,27,16,0.1,4.0
0.0,6,28,16,0.1,4.0
0.0,6,29,16,0.1,4.0
0.0,6,30,16,0.1,4.0
0.0,6,31,16,0.1,4.0
0.0,6,32,16,0.1,4.0
0.0,6,33,16,0.1,4.0
0.0,6,34,16,0.1,4.0
0.0,6,35,16,0.1,4.0
0.0,6,36,16,0.1,4.0
0.0,6,37,16,0.1,4.0
0.0,6,38,16,0.1,4.0
0.0,6,39,16,0.1,4.0
0.0,6,40,16,0.1,4.0
0.0,7,20,16,0.1,4.0
0.0,7,21,16,0.1,4.0
0.0,7,22,16,0.1,4.0
0.0,7,23,16,0.1,4.0
0.0,7,24,16,0.1,4.0
0.0,7,25,16,0.1,4.0
0.0,7,26,16,0.1,4.0
0.0,7,27,16,0.1,4.0
0.0,7,28,16,0.1,4.0
0.0,7,29,16,0.1,4.0
0.0,7,30,16,0.1,4.0
0.0,7,31,16,0.1,4.0
0.0,7,32,16,0.1,4.0
0.0,7,33,16,0.1,4.0
0.0,7,34,16,0.1,4.0
0.0,7,35,16,0.1,4.0
0.0,7,36,16,0.1,4.0
0.0,7,37,16,0.1,4.0
0.0,7,38,16,0.1,4.0
0.0,7,39,16,0.1,4.0
0.0,7,40,16,0.1,4.0
0.0,8,20,16,0.1,4.0
0.0,8,21,16,0.1,4.0
0.0,8,22,16,0.1,4.0
0.0,8,23,16,0.1,4.0
0.0,8,24,16,0.1,4.0
0.0,8,25,16,0.1,4.0
0.0,8,26,16,0.1,4.0
0.0,8,27,16,0.1,4.0
0.0,8,28,16,0.1,4.0
0.0,8,29,16,0.1,4.0
0.0,8,30,16,0.1,4.0
0.0,8,31,16,0.1,4.0
0.0,8,32,16,0.1,4.0
0.0,8,33,16,0.1,4.0
0.0,8,34,16,0.1,4.0
0.0,8,35,16,0.1,4.0
0.0,8,36,16,0.1,4.0
0.0,8,37,16,0.1,4.0
0.0,8,38,16,0.1,4.0
0.0,8,39,16,0.1,4.0
0.0,8,40,16,0.1,4.0
0.0,9,20,16,0.1,4.0
0.0,9,21,16,0.1,4.0
0.0,9,22,16,0.1,4.0
0.0,9,23,16,0.1,4.0
0.0,9,24,16,0.1,4.0
0.018475599999999877,9,25,16,0.1,4.0
0.0,9,26,16,0.1,4.0
0.0,9,27,16,0.1,4.0
0.0,9,28,16,0.1,4.0
0.0,9,29,16,0.1,4.0
0.0,9,30,16,0.1,4.0
0.0,9,31,16,0.1,4.0
0.0,9,32,16,0.1,4.0
0.0,9,33,16,0.1,4.0
0.0,9,34,16,0.1,4.0
0.0,9,35,16,0.1,4.0
0.0,9,36,16,0.1,4.0
0.0,9,37,16,0.1,4.0
0.0,9,38,16,0.1,4.0
0.01845888000000001,9,39,16,0.1,4.0
0.01845888000000001,9,40,16,0.1,4.0
0.0,10,20,16,0.1,4.0
0.0,10,21,16,0.1,4.0
0.0,10,22,16,0.1,4.0
0.0,10,23,16,0.1,4.0
0.0,10,24,16,0.1,4.0
0.0,10,25,16,0.1,4.0
0.0,10,26,16,0.1,4.0
0.0,10,27,16,0.1,4.0
0.0,10,28,16,0.1,4.0
0.0,10,29,16,0.1,4.0
0.0,10,30,16,0.1,4.0
0.0,10,31,16,0.1,4.0
0.0,10,32,16,0.1,4.0
0.0,10,33,16,0.1,4.0
0.0,10,34,16,0.1,4.0
0.0,10,35,16,0.1,4.0
0.0,10,36,16,0.1,4.0
0.0,10,37,16,0.1,4.0
0.0,10,38,16,0.1,4.0
0.0,10,39,16,0.1,4.0
0.0,10,40,16,0.1,4.0
0.0,11,20,16,0.1,4.0
0.0,11,21,16,0.1,4.0
0.0,11,22,16,0.1,4.0
0.0,11,23,16,0.1,4.0
0.0,11,24,16,0.1,4.0
0.0,11,25,16,0.1,4.0
0.0,11,26,16,0.1,4.0
0.0,11,27,16,0.1,4.0
0.0,11,28,16,0.1,4.0
0.0,11,29,16,0.1,4.0
0.0,11,30,16,0.1,4.0
0.0,11,31,16,0.1,4.0
0.0,11,32,16,0.1,4.0
0.0,11,33,16,0.1,4.0
0.0,11,34,16,0.1,4.0
0.0,11,35,16,0.1,4.0
0.0,11,36,16,0.1,4.0
0.0,11,37,16,0.1,4.0
0.0,11,38,16,0.1,4.0
0.0,11,39,16,0.1,4.0
0.0,11,40,16,0.1,4.0
0.0,12,20,16,0.1,4.0
0.0,12,21,16,0.1,4.0
0.0,12,22,16,0.1,4.0
0.0,12,23,16,0.1,4.0
0.0,12,24,16,0.1,4.0
0.0,12,25,16,0.1,4.0
0.018475599999999877,12,26,16,0.1,4.0
0.0,12,27,16,0.1,4.0
0.0,12,28,16,0.1,4.0
0.0,12,29,16,0.1,4.0
0.0,12,30,16,0.1,4.0
0.0,12,31,16,0.1,4.0
0.0,12,32,16,0.1,4.0
0.0,12,33,16,0.1,4.0
0.0,12,34,16,0.1,4.0
0.0,12,35,16,0.1,4.0
0.0,12,36,16,0.1,4.0
0.0,12,37,16,0.1,4.0
0.0,12,38,16,0.1,4.0
0.0,12,39,16,0.1,4.0
0.0,12,40,16,0.1,4.0
0.0,13,20,16,0.1,4.0
0.01832284000000002,13,21,16,0.1,4.0
0.01824645999999987,13,22,16,0.1,4.0
0.018396164800000066,13,23,16,0.1,4.0
0.01839921999999995,13,24,16,0.1,4.0
0.0,13,25,16,0.1,4.0
0.0,13,26,16,0.1,4.0
0.0,13,27,16,0.1,4.0
0.0,13,28,16,0.1,4.0
0.0,13,29,16,0.1,4.0
0.0,13,30,16,0.1,4.0
0.0,13,31,16,0.1,4.0
0.0,13,32,16,0.1,4.0
0.0,13,33,16,0.1,4.0
0.0,13,34,16,0.1,4.0
0.0,13,35,16,0.1,4.0
0.0,13,36,16,0.1,4.0
0.0,13,37,16,0.1,4.0
0.0,13,38,16,0.1,4.0
0.0,13,39,16,0.1,4.0
0.02342091999999992,13,40,16,0.1,4.0
0.01809370000000001,14,20,16,0.1,4.0
0.0,14,21,16,0.1,4.0
0.0,14,22,16,0.1,4.0
0.0,14,23,16,0.1,4.0
0.0,14,24,16,0.1,4.0
0.0,14,25,16,0.1,4.0
0.0,14,26,16,0.1,4.0
0.0,14,27,16,0.1,4.0
0.0,14,28,16,0.1,4.0
0.0,14,29,16,0.1,4.0
0.0,14,30,16,0.1,4.0
0.0,14,31,16,0.1,4.0
0.0,14,32,16,0.1,4.0
0.0,14,33,16,0.1,4.0
0.0,14,34,16,0.1,4.0
0.0,14,35,16,0.1,4.0
0.0,14,36,16,0.1,4.0
0.0,14,37,16,0.1,4.0
0.0,14,38,16,0.1,4.0
0.0,14,39,16,0.1,4.0
0.02342091999999992,14,40,16,0.1,4.0
