Roi,Fast Period,Slow Period,high & low Period,high & low Error,Gain Value
0.01809370000000001,2,20,19,0.1,4.0
0.0,2,21,19,0.1,4.0
0.0,2,22,19,0.1,4.0
0.0,2,23,19,0.1,4.0
0.0,2,24,19,0.1,4.0
0.0,2,25,19,0.1,4.0
0.0,2,26,19,0.1,4.0
0.0,2,27,19,0.1,4.0
0.018781120000000037,2,28,19,0.1,4.0
0.019086639999999974,2,29,19,0.1,4.0
0.0,2,30,19,0.1,4.0
0.0,2,31,19,0.1,4.0
0.0,2,32,19,0.1,4.0
0.0,2,33,19,0.1,4.0
0.0,2,34,19,0.1,4.0
0.0,2,35,19,0.1,4.0
0.0,2,36,19,0.1,4.0
0.0,2,37,19,0.1,4.0
0.0,2,38,19,0.1,4.0
0.0,2,39,19,0.1,4.0
0.0,2,40,19,0.1,4.0
0.0,3,20,19,0.1,4.0
0.0,3,21,19,0.1,4.0
0.0,3,22,19,0.1,4.0
0.0,3,23,19,0.1,4.0
0.0,3,24,19,0.1,4.0
0.0,3,25,19,0.1,4.0
0.0,3,26,19,0.1,4.0
0.020379020000000123,3,27,19,0.1,4.0
0.0,3,28,19,0.1,4.0
0.019086639999999974,3,29,19,0.1,4.0
0.018933879999999896,3,30,19,0.1,4.0
0.0,3,31,19,0.1,4.0
0.0,3,32,19,0.1,4.0
0.0,3,33,19,0.1,4.0
0.0,3,34,19,0.1,4.0
0.0,3,35,19,0.1,4.0
0.0,3,36,19,0.1,4.0
0.0,3,37,19,0.1,4.0
0.0,3,38,19,0.1,4.0
0.0,3,39,19,0.1,4.0
0.0,3,40,19,0.1,4.0
0.0,4,20,19,0.1,4.0
0.0,4,21,19,0.1,4.0
0.0,4,22,19,0.1,4.0
0.0,4,23,19,0.1,4.0
0.0,4,24,19,0.1,4.0
0.019844359999999953,4,25,19,0.1,4.0
0.019844359999999953,4,26,19,0.1,4.0
0.020302260000000166,4,27,19,0.1,4.0
0.0,4,28,19,0.1,4.0
0.0,4,29,19,0.1,4.0
0.0,4,30,19,0.1,4.0
0.0,4,31,19,0.1,4.0
0.0,4,32,19,0.1,4.0
0.0,4,33,19,0.1,4.0
0.0,4,34,19,0.1,4.0
0.0,4,35,19,0.1,4.0
0.0,4,36,19,0.1,4.0
0.0,4,37,19,0.1,4.0
0.0,4,38,19,0.1,4.0
0.0,4,39,19,0.1,4.0
0.0,4,40,19,0.1,4.0
0.01938570000000013,5,20,19,0.1,4.0
0.019691600000000097,5,21,19,0.1,4.0
0.019615219999999947,5,22,19,0.1,4.0
0.019764924800000142,5,23,19,0.1,4.0
0.019691220000000068,5,24,19,0.1,4.0
0.0197676,5,25,19,0.1,4.0
0.0197676,5,26,19,0.1,4.0
0.0,5,27,19,0.1,4.0
0.0,5,28,19,0.1,4.0
0.0,5,29,19,0.1,4.0
0.0,5,30,19,0.1,4.0
0.0,5,31,19,0.1,4.0
0.0,5,32,19,0.1,4.0
0.0,5,33,19,0.1,4.0
0.0,5,34,19,0.1,4.0
0.0,5,35,19,0.1,4.0
0.0,5,36,19,0.1,4.0
0.0,5,37,19,0.1,4.0
0.0,5,38,19,0.1,4.0
0.0,5,39,19,0.1,4.0
0.0,5,40,19,0.1,4.0
0.01938570000000013,6,20,19,0.1,4.0
0.0,6,21,19,0.1,4.0
0.019538459999999994,6,22,19,0.1,4.0
0.019688164800000185,6,23,19,0.1,4.0
0.019691220000000068,6,24,19,0.1,4.0
0.0,6,25,19,0.1,4.0
0.0,6,26,19,0.1,4.0
0.0,6,27,19,0.1,4.0
0.0,6,28,19,0.1,4.0
0.0,6,29,19,0.1,4.0
0.0,6,30,19,0.1,4.0
0.0,6,31,19,0.1,4.0
0.0,6,32,19,0.1,4.0
0.0,6,33,19,0.1,4.0
0.0,6,34,19,0.1,4.0
0.0,6,35,19,0.1,4.0
0.0,6,36,19,0.1,4.0
0.0,6,37,19,0.1,4.0
0.0,6,38,19,0.1,4.0
0.0,6,39,19,0.1,4.0
0.0,6,40,19,0.1,4.0
0.0,7,20,19,0.1,4.0
0.0,7,21,19,0.1,4.0
0.0,7,22,19,0.1,4.0
0.0,7,23,19,0.1,4.0
0.0,7,24,19,0.1,4.0
0.0,7,25,19,0.1,4.0
0.0,7,26,19,0.1,4.0
0.0,7,27,19,0.1,4.0
0.0,7,28,19,0.1,4.0
0.0,7,29,19,0.1,4.0
0.0,7,30,19,0.1,4.0
0.0,7,31,19,0.1,4.0
0.0,7,32,19,0.1,4.0
0.0,7,33,19,0.1,4.0
0.0,7,34,19,0.1,4.0
0.0,7,35,19,0.1,4.0
0.0,7,36,19,0.1,4.0
0.0,7,37,19,0.1,4.0
0.0,7,38,19,0.1,4.0
0.0,7,39,19,0.1,4.0
0.0,7,40,19,0.1,4.0
0.0,8,20,19,0.1,4.0
0.0,8,21,19,0.1,4.0
0.0,8,22,19,0.1,4.0
0.0,8,23,19,0.1,4.0
0.0,8,24,19,0.1,4.0
0.0,8,25,19,0.1,4.0
0.0,8,26,19,0.1,4.0
0.0,8,27,19,0.1,4.0
0.0,8,28,19,0.1,4.0
0.0,8,29,19,0.1,4.0
0.0,8,30,19,0.1,4.0
0.0,8,31,19,0.1,4.0
0.0,8,32,19,0.1,4.0
0.0,8,33,19,0.1,4.0
0.0,8,34,19,0.1,4.0
0.0,8,35,19,0.1,4.0
0.0,8,36,19,0.1,4.0
0.0,8,37,19,0.1,4.0
0.0,8,38,19,0.1,4.0
0.0,8,39,19,0.1,4.0
