Roi,Fast Period,Slow Period,high & low Period,high & low Error,Gain Value
0.01809370000000001,2,20,21,0.1,4.0
0.0,2,21,21,0.1,4.0
0.0,2,22,21,0.1,4.0
0.0,2,23,21,0.1,4.0
0.0,2,24,21,0.1,4.0
0.0,2,25,21,0.1,4.0
0.0,2,26,21,0.1,4.0
0.0,2,27,21,0.1,4.0
0.018781120000000037,2,28,21,0.1,4.0
0.019086639999999974,2,29,21,0.1,4.0
0.0,2,30,21,0.1,4.0
0.0,2,31,21,0.1,4.0
0.0,2,32,21,0.1,4.0
0.0,2,33,21,0.1,4.0
0.0,2,34,21,0.1,4.0
0.0,2,35,21,0.1,4.0
0.0,2,36,21,0.1,4.0
0.0,2,37,21,0.1,4.0
0.0,2,38,21,0.1,4.0
0.0,2,39,21,0.1,4.0
0.0,2,40,21,0.1,4.0
0.0,3,20,21,0.1,4.0
0.0,3,21,21,0.1,4.0
0.0,3,22,21,0.1,4.0
0.0,3,23,21,0.1,4.0
0.0,3,24,21,0.1,4.0
0.0,3,25,21,0.1,4.0
0.0,3,26,21,0.1,4.0
0.020379020000000123,3,27,21,0.1,4.0
0.0,3,28,21,0.1,4.0
0.019086639999999974,3,29,21,0.1,4.0
0.018933879999999896,3,30,21,0.1,4.0
0.0,3,31,21,0.1,4.0
0.0,3,32,21,0.1,4.0
0.0,3,33,21,0.1,4.0
0.0,3,34,21,0.1,4.0
0.0,3,35,21,0.1,4.0
0.0,3,36,21,0.1,4.0
0.0,3,37,21,0.1,4.0
0.0,3,38,21,0.1,4.0
0.0,3,39,21,0.1,4.0
0.0,3,40,21,0.1,4.0
0.0,4,20,21,0.1,4.0
0.0,4,21,21,0.1,4.0
0.0,4,22,21,0.1,4.0
0.0,4,23,21,0.1,4.0
0.0,4,24,21,0.1,4.0
0.019844359999999953,4,25,21,0.1,4.0
0.019844359999999953,4,26,21,0.1,4.0
0.020302260000000166,4,27,21,0.1,4.0
0.0,4,28,21,0.1,4.0
0.0,4,29,21,0.1,4.0
0.0,4,30,21,0.1,4.0
0.0,4,31,21,0.1,4.0
0.0,4,32,21,0.1,4.0
0.0,4,33,21,0.1,4.0
0.0,4,34,21,0.1,4.0
0.0,4,35,21,0.1,4.0
0.0,4,36,21,0.1,4.0
0.0,4,37,21,0.1,4.0
0.0,4,38,21,0.1,4.0
0.0,4,39,21,0.1,4.0
0.0,4,40,21,0.1,4.0
0.01938570000000013,5,20,21,0.1,4.0
0.019691600000000097,5,21,21,0.1,4.0
0.019615219999999947,5,22,21,0.1,4.0
0.019764924800000142,5,23,21,0.1,4.0
0.019691220000000068,5,24,21,0.1,4.0
0.0197676,5,25,21,0.1,4.0
0.0197676,5,26,21,0.1,4.0
0.0,5,27,21,0.1,4.0
0.0,5,28,21,0.1,4.0
0.0,5,29,21,0.1,4.0
0.0,5,30,21,0.1,4.0
0.0,5,31,21,0.1,4.0
0.0,5,32,21,0.1,4.0
0.0,5,33,21,0.1,4.0
