Roi,Fast Period,Slow Period,high & low Period,high & low Error,Gain Value
0.0,2,40,21,0.1,4.0
0.0,2,41,21,0.1,4.0
0.0,2,42,21,0.1,4.0
0.0,2,43,21,0.1,4.0
0.0,2,44,21,0.1,4.0
0.0,2,45,21,0.1,4.0
0.0,2,46,21,0.1,4.0
0.0,2,47,21,0.1,4.0
0.0,2,48,21,0.1,4.0
0.0,2,49,21,0.1,4.0
0.0,2,50,21,0.1,4.0
0.0250176800000002,2,51,21,0.1,4.0
0.02486492000000012,2,52,21,0.1,4.0
0.0,2,53,21,0.1,4.0
0.0,2,54,21,0.1,4.0
0.0,2,55,21,0.1,4.0
0.0,2,56,21,0.1,4.0
0.0,2,57,21,0.1,4.0
0.0,2,58,21,0.1,4.0
0.01832284000000002,2,59,21,0.1,4.0
0.018475599999999877,2,60,21,0.1,4.0
0.018475599999999877,2,61,21,0.1,4.0
0.018857499999999965,2,62,21,0.1,4.0
0.0,2,63,21,0.1,4.0
0.0,2,64,21,0.1,4.0
0.0,2,65,21,0.1,4.0
0.0,2,66,21,0.1,4.0
0.0,2,67,21,0.1,4.0
0.0,2,68,21,0.1,4.0
0.0,2,69,21,0.1,4.0
0.0,2,70,21,0.1,4.0
0.0,2,71,21,0.1,4.0
0.0,2,72,21,0.1,4.0
0.0,2,73,21,0.1,4.0
0.0,2,74,21,0.1,4.0
0.0,2,75,21,0.1,4.0
0.0,2,76,21,0.1,4.0
0.0,2,77,21,0.1,4.0
0.0,2,78,21,0.1,4.0
0.0,2,79,21,0.1,4.0
0.0,2,80,21,0.1,4.0
0.0,3,40,21,0.1,4.0
0.0,3,41,21,0.1,4.0
0.0,3,42,21,0.1,4.0
0.0,3,43,21,0.1,4.0
0.0,3,44,21,0.1,4.0
0.0,3,45,21,0.1,4.0
0.0,3,46,21,0.1,4.0
0.0,3,47,21,0.1,4.0
0.0,3,48,21,0.1,4.0
0.0,3,49,21,0.1,4.0
0.0,3,50,21,0.1,4.0
0.0,3,51,21,0.1,4.0
0.0,3,52,21,0.1,4.0
0.0,3,53,21,0.1,4.0
0.0,3,54,21,0.1,4.0
0.0,3,55,21,0.1,4.0
0.0,3,56,21,0.1,4.0
0.0,3,57,21,0.1,4.0
0.0,3,58,21,0.1,4.0
0.01832284000000002,3,59,21,0.1,4.0
0.018475599999999877,3,60,21,0.1,4.0
0.018475599999999877,3,61,21,0.1,4.0
0.0,3,62,21,0.1,4.0
0.0,3,63,21,0.1,4.0
0.0,3,64,21,0.1,4.0
0.0,3,65,21,0.1,4.0
0.0,3,66,21,0.1,4.0
0.0,3,67,21,0.1,4.0
0.0,3,68,21,0.1,4.0
0.0,3,69,21,0.1,4.0
0.0,3,70,21,0.1,4.0
0.0,3,71,21,0.1,4.0
0.0,3,72,21,0.1,4.0
0.0,3,73,21,0.1,4.0
0.0,3,74,21,0.1,4.0
0.0,3,75,21,0.1,4.0
0.0,3,76,21,0.1,4.0
0.0,3,77,21,0.1,4.0
0.0,3,78,21,0.1,4.0
0.0,3,79,21,0.1,4.0
0.0,3,80,21,0.1,4.0
0.0,4,40,21,0.1,4.0
0.0,4,41,21,0.1,4.0
0.0,4,42,21,0.1,4.0
0.0178752,4,43,21,0.1,4.0
0.018562620000000026,4,44,21,0.1,4.0
0.0,4,45,21,0.1,4.0
0.01802795999999986,4,46,21,0.1,4.0
0.0,4,47,21,0.1,4.0
0.0,4,48,21,0.1,4.0
0.0,4,49,21,0.1,4.0
0.0,4,50,21,0.1,4.0
0.0,4,51,21,0.1,4.0
0.0,4,52,21,0.1,4.0
0.0,4,53,21,0.1,4.0
0.0,4,54,21,0.1,4.0
0.0,4,55,21,0.1,4.0
0.0,4,56,21,0.1,4.0
0.0,4,57,21,0.1,4.0
0.0,4,58,21,0.1,4.0
0.01832284000000002,4,59,21,0.1,4.0
0.018475599999999877,4,60,21,0.1,4.0
0.0,4,61,21,0.1,4.0
0.0,4,62,21,0.1,4.0
0.0,4,63,21,0.1,4.0
0.0,4,64,21,0.1,4.0
0.0,4,65,21,0.1,4.0
0.0,4,66,21,0.1,4.0
0.0,4,67,21,0.1,4.0
0.0,4,68,21,0.1,4.0
0.0,4,69,21,0.1,4.0
0.0,4,70,21,0.1,4.0
0.0,4,71,21,0.1,4.0
0.0,4,72,21,0.1,4.0
0.0,4,73,21,0.1,4.0
0.0,4,74,21,0.1,4.0
0.0,4,75,21,0.1,4.0
0.0,4,76,21,0.1,4.0
0.0,4,77,21,0.1,4.0
0.0,4,78,21,0.1,4.0
0.0,4,79,21,0.1,4.0
0.0,4,80,21,0.1,4.0
0.0,5,40,21,0.1,4.0
0.0,5,41,21,0.1,4.0
0.0,5,42,21,0.1,4.0
0.0178752,5,43,21,0.1,4.0
0.018562620000000026,5,44,21,0.1,4.0
0.0,5,45,21,0.1,4.0
0.0,5,46,21,0.1,4.0
0.0,5,47,21,0.1,4.0
0.0,5,48,21,0.1,4.0
0.01818071999999994,5,49,21,0.1,4.0
0.0178752,5,50,21,0.1,4.0
0.0,5,51,21,0.1,4.0
0.0,5,52,21,0.1,4.0
0.0,5,53,21,0.1,4.0
0.0,5,54,21,0.1,4.0
0.0,5,55,21,0.1,4.0
0.0,5,56,21,0.1,4.0
0.0,5,57,21,0.1,4.0
0.0,5,58,21,0.1,4.0
0.0,5,59,21,0.1,4.0
0.0,5,60,21,0.1,4.0
0.0,5,61,21,0.1,4.0
0.0,5,62,21,0.1,4.0
0.0,5,63,21,0.1,4.0
0.0,5,64,21,0.1,4.0
0.0,5,65,21,0.1,4.0
0.0,5,66,21,0.1,4.0
0.0,5,67,21,0.1,4.0
0.0,5,68,21,0.1,4.0
0.0,5,69,21,0.1,4.0
0.0,5,70,21,0.1,4.0
0.0,5,71,21,0.1,4.0
0.0,5,72,21,0.1,4.0
0.0,5,73,21,0.1,4.0
0.0,5,74,21,0.1,4.0
0.0,5,75,21,0.1,4.0
0.0,5,76,21,0.1,4.0
0.0,5,77,21,0.1,4.0
0.0,5,78,21,0.1,4.0
0.0,5,79,21,0.1,4.0
0.0,5,80,21,0.1,4.0
0.0,6,40,21,0.1,4.0
0.0,6,41,21,0.1,4.0
0.0,6,42,21,0.1,4.0
0.0,6,43,21,0.1,4.0
0.0,6,44,21,0.1,4.0
0.0,6,45,21,0.1,4.0
0.0,6,46,21,0.1,4.0
0.0,6,47,21,0.1,4.0
0.0,6,48,21,0.1,4.0
0.0,6,49,21,0.1,4.0
0.0,6,50,21,0.1,4.0
0.0,6,51,21,0.1,4.0
0.0,6,52,21,0.1,4.0
0.0,6,53,21,0.1,4.0
0.0,6,54,21,0.1,4.0
0.0,6,55,21,0.1,4.0
0.0,6,56,21,0.1,4.0
0.0,6,57,21,0.1,4.0
0.0,6,58,21,0.1,4.0
0.0,6,59,21,0.1,4.0
0.0,6,60,21,0.1,4.0
0.0,6,61,21,0.1,4.0
0.018857499999999965,6,62,21,0.1,4.0
0.0,6,63,21,0.1,4.0
0.0,6,64,21,0.1,4.0
0.0,6,65,21,0.1,4.0
0.0,6,66,21,0.1,4.0
0.0,6,67,21,0.1,4.0
0.0,6,68,21,0.1,4.0
0.0,6,69,21,0.1,4.0
0.0,6,70,21,0.1,4.0
0.0,6,71,21,0.1,4.0
0.0,6,72,21,0.1,4.0
0.0,6,73,21,0.1,4.0
0.0,6,74,21,0.1,4.0
0.0,6,75,21,0.1,4.0
0.0,6,76,21,0.1,4.0
0.0,6,77,21,0.1,4.0
0.0,6,78,21,0.1,4.0
0.0,6,79,21,0.1,4.0
0.0,6,80,21,0.1,4.0
0.0,7,40,21,0.1,4.0
0.0,7,41,21,0.1,4.0
0.0,7,42,21,0.1,4.0
0.0,7,43,21,0.1,4.0
0.0,7,44,21,0.1,4.0
0.0,7,45,21,0.1,4.0
0.0,7,46,21,0.1,4.0
0.0,7,47,21,0.1,4.0
0.0,7,48,21,0.1,4.0
0.0,7,49,21,0.1,4.0
0.0,7,50,21,0.1,4.0
0.0,7,51,21,0.1,4.0
0.0,7,52,21,0.1,4.0
0.0,7,53,21,0.1,4.0
0.0,7,54,21,0.1,4.0
0.0,7,55,21,0.1,4.0
0.0,7,56,21,0.1,4.0
0.0,7,57,21,0.1,4.0
0.0,7,58,21,0.1,4.0
0.0,7,59,21,0.1,4.0
0.0,7,60,21,0.1,4.0
0.0,7,61,21,0.1,4.0
0.0,7,62,21,0.1,4.0
0.018857499999999965,7,63,21,0.1,4.0
0.0,7,64,21,0.1,4.0
0.0,7,65,21,0.1,4.0
0.0,7,66,21,0.1,4.0
0.0,7,67,21,0.1,4.0
0.0,7,68,21,0.1,4.0
0.0,7,69,21,0.1,4.0
0.0,7,70,21,0.1,4.0
0.0,7,71,21,0.1,4.0
0.0,7,72,21,0.1,4.0
0.0,7,73,21,0.1,4.0
0.0,7,74,21,0.1,4.0
0.0,7,75,21,0.1,4.0
0.0,7,76,21,0.1,4.0
0.0,7,77,21,0.1,4.0
0.0,7,78,21,0.1,4.0
0.0,7,79,21,0.1,4.0
0.0,7,80,21,0.1,4.0
0.0,8,40,21,0.1,4.0
0.0,8,41,21,0.1,4.0
0.0,8,42,21,0.1,4.0
0.0,8,43,21,0.1,4.0
0.0,8,44,21,0.1,4.0
0.0,8,45,21,0.1,4.0
0.0,8,46,21,0.1,4.0
0.0,8,47,21,0.1,4.0
0.0,8,48,21,0.1,4.0
0.0,8,49,21,0.1,4.0
0.0,8,50,21,0.1,4.0
0.0,8,51,21,0.1,4.0
0.0,8,52,21,0.1,4.0
0.0,8,53,21,0.1,4.0
0.0,8,54,21,0.1,4.0
0.0,8,55,21,0.1,4.0
0.0,8,56,21,0.1,4.0
0.0,8,57,21,0.1,4.0
0.0,8,58,21,0.1,4.0
0.0,8,59,21,0.1,4.0
0.0,8,60,21,0.1,4.0
0.0,8,61,21,0.1,4.0
0.0,8,62,21,0.1,4.0
0.018857499999999965,8,63,21,0.1,4.0
0.0,8,64,21,0.1,4.0
0.0,8,65,21,0.1,4.0
0.0,8,66,21,0.1,4.0
0.0,8,67,21,0.1,4.0
0.0,8,68,21,0.1,4.0
0.0,8,69,21,0.1,4.0
0.0,8,70,21,0.1,4.0
0.0,8,71,21,0.1,4.0
0.0,8,72,21,0.1,4.0
0.0,8,73,21,0.1,4.0
0.0,8,74,21,0.1,4.0
0.0,8,75,21,0.1,4.0
0.0,8,76,21,0.1,4.0
0.0,8,77,21,0.1,4.0
0.0,8,78,21,0.1,4.0
0.0,8,79,21,0.1,4.0
0.0,8,80,21,0.1,4.0
0.01845888000000001,9,40,21,0.1,4.0
0.01868802000000002,9,41,21,0.1,4.0
0.018571158600000047,9,42,21,0.1,4.0
0.01891716000000003,9,43,21,0.1,4.0
0.019604580000000055,9,44,21,0.1,4.0
0.018611640000000092,9,45,21,0.1,4.0
0.01906991999999989,9,46,21,0.1,4.0
0.0,9,47,21,0.1,4.0
0.0,9,48,21,0.1,4.0
0.0,9,49,21,0.1,4.0
0.01891716000000003,9,50,21,0.1,4.0
0.018611640000000092,9,51,21,0.1,4.0
0.01859491999999999,9,52,21,0.1,4.0
0.0,9,53,21,0.1,4.0
0.0,9,54,21,0.1,4.0
0.0,9,55,21,0.1,4.0
0.0,9,56,21,0.1,4.0
0.018076979999999923,9,57,21,0.1,4.0
0.0,9,58,21,0.1,4.0
0.0,9,59,21,0.1,4.0
0.0,9,60,21,0.1,4.0
0.0,9,61,21,0.1,4.0
0.018857499999999965,9,62,21,0.1,4.0
0.018857499999999965,9,63,21,0.1,4.0
0.0,9,64,21,0.1,4.0
0.0,9,65,21,0.1,4.0
0.0,9,66,21,0.1,4.0
0.0,9,67,21,0.1,4.0
0.0,9,68,21,0.1,4.0
0.0,9,69,21,0.1,4.0
0.0,9,70,21,0.1,4.0
0.0,9,71,21,0.1,4.0
0.0,9,72,21,0.1,4.0
0.0,9,73,21,0.1,4.0
0.0,9,74,21,0.1,4.0
0.0,9,75,21,0.1,4.0
0.0,9,76,21,0.1,4.0
0.0,9,77,21,0.1,4.0
0.0,9,78,21,0.1,4.0
0.0,9,79,21,0.1,4.0
0.0,9,80,21,0.1,4.0
0.0,10,40,21,0.1,4.0
0.0,10,41,21,0.1,4.0
0.0,10,42,21,0.1,4.0
0.0,10,43,21,0.1,4.0
0.0,10,44,21,0.1,4.0
0.0,10,45,21,0.1,4.0
0.0,10,46,21,0.1,4.0
0.0,10,47,21,0.1,4.0
