Roi,Fast Period,Slow Period,high & low Period,high & low Error,Gain Value
0.027822035799999874,2,14,5,0.5,3.0
0.01399887579999993,2,14,5,0.5,3.5
0.016029475800000095,2,14,5,0.5,4.0
0.015280285800000029,2,14,5,0.6,1.5
0.018764285799999964,2,14,5,0.6,2.0
0.025261555800000002,2,14,5,0.6,2.5
0.027822035799999874,2,14,5,0.6,3.0
0.01399887579999993,2,14,5,0.6,3.5
0.016029475800000095,2,14,5,0.6,4.0
0.020244985799999973,2,14,5,0.7,1.5
0.023728985799999908,2,14,5,0.7,2.0
0.020710255800000025,2,14,5,0.7,2.5
0.023270735799999893,2,14,5,0.7,3.0
0.01399887579999993,2,14,5,0.7,3.5
0.016029475800000095,2,14,5,0.7,4.0
0.020244985799999973,2,14,5,0.8,1.5
0.023728985799999908,2,14,5,0.8,2.0
0.020710255800000025,2,14,5,0.8,2.5
0.023270735799999893,2,14,5,0.8,3.0
0.01399887579999993,2,14,5,0.8,3.5
0.016029475800000095,2,14,5,0.8,4.0
0.020244985799999973,2,14,5,0.9,1.5
0.023728985799999908,2,14,5,0.9,2.0
0.020710255800000025,2,14,5,0.9,2.5
0.023270735799999893,2,14,5,0.9,3.0
0.01399887579999993,2,14,5,0.9,3.5
0.016029475800000095,2,14,5,0.9,4.0
0.007855595799999884,2,17,5,0.1,1.5
0.01300359579999993,2,17,5,0.1,2.0
0.02844707579999991,2,17,5,0.1,2.5
0.03018907579999995,2,17,5,0.1,3.0
0.013686355799999902,2,17,5,0.1,3.5
0.01620887579999999,2,17,5,0.1,4.0
0.018312122400000116,2,17,5,0.2,1.5
0.024514924200000003,2,17,5,0.2,2.0
0.01879375420000002,2,17,5,0.2,2.5
0.02225175419999998,2,17,5,0.2,3.0
0.013686355799999902,2,17,5,0.2,3.5
0.01620887579999999,2,17,5,0.2,4.0
0.0069570358000000795,2,17,5,0.3,1.5
0.012573555800000014,2,17,5,0.3,2.0
0.02562503579999995,2,17,5,0.3,2.5
0.027003035799999877,2,17,5,0.3,3.0
0.013686355799999902,2,17,5,0.3,3.5
