symbol,volume,last_price,time,p_change,ch_percentage,extended_hours_price,ehp_percentage,datetime
TSLA,5101533,273.09,1694612631,5.61,2.1,,,2023-09-13 13:43:51
TSLA,5102493,273.08,1694612633,5.6,2.09,,,2023-09-13 13:43:53
TSLA,5102496,273.09,1694612634,5.61,2.1,,,2023-09-13 13:43:54
TSLA,5104053,273.15,1694612636,5.67,2.12,,,2023-09-13 13:43:56
TSLA,5107901,273.2,1694612638,5.72,2.14,,,2023-09-13 13:43:58
TSLA,5108759,273.24,1694612640,5.76,2.15,,,2023-09-13 13:44:00
TSLA,5111461,273.43,1694612643,5.95,2.22,,,2023-09-13 13:44:03
TSLA,5114689,273.61,1694612645,6.13,2.29,,,2023-09-13 13:44:05
TSLA,5116841,273.47,1694612647,5.99,2.24,,,2023-09-13 13:44:07
TSLA,5118371,273.39,1694612649,5.91,2.21,,,2023-09-13 13:44:09
TSLA,5119658,273.37,1694612651,5.89,2.2,,,2023-09-13 13:44:11
TSLA,5122183,273.36,1694612653,5.88,,,,2023-09-13 13:44:13
TSLA,5122185,273.44,1694612654,5.96,2.23,,,2023-09-13 13:44:14
TSLA,5122692,273.47,1694612656,5.99,2.24,,,2023-09-13 13:44:16
TSLA,5123779,273.45,1694612658,5.97,2.23,,,2023-09-13 13:44:18
TSLA,5124598,273.5,1694612660,6.02,2.25,,,2023-09-13 13:44:20
TSLA,5127278,273.74,1694612663,6.26,2.34,,,2023-09-13 13:44:23
TSLA,5129814,273.93,1694612665,6.45,2.41,,,2023-09-13 13:44:25
TSLA,5136519,273.99,1694612667,6.51,2.43,,,2023-09-13 13:44:27
TSLA,5139245,273.7,1694612669,6.22,2.33,,,2023-09-13 13:44:29
TSLA,5139974,273.64,1694612671,6.16,2.3,,,2023-09-13 13:44:31
TSLA,5140786,273.53,1694612672,6.05,2.26,,,2023-09-13 13:44:32
TSLA,5140836,273.68,1694612674,6.2,2.32,,,2023-09-13 13:44:34
TSLA,5141835,273.7,1694612676,6.22,2.33,,,2023-09-13 13:44:36
TSLA,5142338,273.81,1694612679,6.33,2.37,,,2023-09-13 13:44:39
TSLA,5142694,,1694612681,,,,,2023-09-13 13:44:41
TSLA,5142982,273.86,1694612684,6.38,2.39,,,2023-09-13 13:44:44
TSLA,5151778,273.52,1694612688,6.04,2.26,,,2023-09-13 13:44:48
TSLA,5151937,273.53,1694612690,6.05,,,,2023-09-13 13:44:50
TSLA,5152226,273.6,1694612693,6.12,2.29,,,2023-09-13 13:44:53
TSLA,5152678,273.54,1694612695,6.06,2.27,,,2023-09-13 13:44:55
TSLA,5152708,,1694612696,,,,,2023-09-13 13:44:56
TSLA,5153791,273.58,1694612698,6.1,2.28,,,2023-09-13 13:44:58
TSLA,5158971,273.48,1694612700,6.0,2.24,,,2023-09-13 13:45:00
TSLA,5160018,273.51,1694612702,6.03,2.25,,,2023-09-13 13:45:02
TSLA,5161599,273.46,1694612704,5.98,2.24,,,2023-09-13 13:45:04
TSLA,5164723,273.2,1694612706,5.72,2.14,,,2023-09-13 13:45:06
TSLA,5165699,273.26,1694612708,5.78,2.16,,,2023-09-13 13:45:08
TSLA,5166616,273.36,1694612711,5.88,2.2,,,2023-09-13 13:45:11
TSLA,5167488,273.16,1694612713,5.68,2.12,,,2023-09-13 13:45:13
TSLA,5168124,273.24,1694612715,5.76,2.15,,,2023-09-13 13:45:15
TSLA,5169475,273.36,1694612717,5.88,2.2,,,2023-09-13 13:45:17
TSLA,5170311,273.28,1694612719,5.8,2.17,,,2023-09-13 13:45:19
TSLA,5171067,273.2,1694612722,5.72,2.14,,,2023-09-13 13:45:22
TSLA,5172552,273.06,1694612723,5.58,2.09,,,2023-09-13 13:45:23
TSLA,5172652,273.12,1694612724,5.64,2.11,,,2023-09-13 13:45:24
TSLA,5177397,273.32,1694612727,5.84,2.18,,,2023-09-13 13:45:27
TSLA,5177497,273.37,1694612728,5.89,2.2,,,2023-09-13 13:45:28
TSLA,5179360,273.35,1694612730,5.87,2.19,,,2023-09-13 13:45:30
TSLA,5180753,273.39,1694612732,5.91,2.21,,,2023-09-13 13:45:32
TSLA,5182128,273.41,1694612735,5.93,2.22,,,2023-09-13 13:45:35
TSLA,5187217,273.64,1694612737,6.16,2.3,,,2023-09-13 13:45:37
TSLA,5188936,273.65,1694612739,6.17,2.31,,,2023-09-13 13:45:39
TSLA,5191863,273.77,1694612741,6.29,2.35,,,2023-09-13 13:45:41
TSLA,5192946,273.83,1694612744,6.35,2.37,,,2023-09-13 13:45:44
TSLA,5197014,273.78,1694612746,6.3,2.36,,,2023-09-13 13:45:46
TSLA,5199082,273.59,1694612748,6.11,2.28,,,2023-09-13 13:45:48
