timestamp,open,high,low,close,volume,trade count,vwap
2023-07-03T20:40:00Z,192.4179,192.4179,192.4179,192.4179,316,21,192.411424
2023-07-03T20:46:00Z,192.4184,192.4184,192.4184,192.4184,433,17,192.417631
2023-07-03T20:49:00Z,192.4,192.4,192.4,192.4,359,19,192.401671
2023-07-03T20:50:00Z,192.41,192.41,192.41,192.41,280,11,192.409214
2023-07-03T20:51:00Z,192.4,192.4,192.4,192.4,706,19,192.400538
2023-07-03T20:53:00Z,192.4,192.4,192.4,192.4,241,22,192.401992
2023-07-03T20:56:00Z,192.44,192.45,192.44,192.45,474,21,192.439241
2023-07-03T20:58:00Z,192.42,192.42,192.42,192.42,432,8,192.418334
2023-07-03T20:59:00Z,192.45,192.45,192.45,192.45,439,22,192.447107
2023-07-05T08:00:00Z,192.71,192.71,191.81,191.97,5663,195,191.955845
2023-07-05T08:01:00Z,191.98,192.19,191.96,192.08,2325,96,192.049303
2023-07-05T08:02:00Z,192.06,192.06,192.06,192.06,478,24,191.998013
2023-07-05T08:03:00Z,191.96,191.96,191.95,191.95,586,34,191.982099
2023-07-05T08:04:00Z,191.99,191.99,191.87,191.87,1692,40,191.92656
2023-07-05T08:05:00Z,192.01,192.02,191.99,191.99,1238,23,192.008861
2023-07-05T08:10:00Z,191.92,191.92,191.92,191.92,131,9,191.919695
2023-07-05T08:12:00Z,191.87,191.87,191.87,191.87,273,13,191.889524
2023-07-05T08:13:00Z,191.8,191.8,191.8,191.8,884,41,191.813676
2023-07-05T08:14:00Z,191.8,191.8,191.8,191.8,1397,24,191.795841
2023-07-05T08:26:00Z,191.89,191.9,191.89,191.9,512,12,191.890801
2023-07-05T08:29:00Z,191.9,191.9,191.83,191.83,1452,46,191.861508
2023-07-05T08:31:00Z,191.83,191.89,191.83,191.89,350,7,191.8524
2023-07-05T08:32:00Z,191.84,191.84,191.83,191.83,389,13,191.832879
2023-07-05T08:34:00Z,191.8,191.8,191.8,191.8,643,42,191.797605
2023-07-05T08:36:00Z,191.83,191.83,191.83,191.83,718,13,191.827953
2023-07-05T08:39:00Z,191.75,191.75,191.75,191.75,375,31,191.769733
2023-07-05T08:51:00Z,191.57,191.57,191.57,191.57,544,36,191.589485
2023-07-05T08:53:00Z,191.57,191.57,191.57,191.57,129,8,191.570155
2023-07-05T08:56:00Z,191.5,191.53,191.5,191.53,513,40,191.509825
2023-07-05T08:57:00Z,191.51,191.51,191.5,191.5,321,11,191.503707
2023-07-05T09:03:00Z,191.42,191.43,191.4,191.43,1006,44,191.413817
2023-07-05T09:07:00Z,191.39,191.39,191.39,191.39,331,20,191.398187
2023-07-05T09:14:00Z,191.22,191.23,191.2,191.2,2153,61,191.222099
2023-07-05T09:15:00Z,191.22,191.22,191.19,191.19,2307,36,191.207204
2023-07-05T09:23:00Z,191.24,191.24,191.24,191.24,473,33,191.183975
2023-07-05T09:24:00Z,191.11,191.11,191.11,191.11,660,27,191.116818
