symbol,timestamp,open,high,low,close,volume,trade_count,vwap
TSLA,2023-08-14 11:08:00+00:00,238.35,238.38,238.3,238.3,4001.0,109.0,238.332504
TSLA,2023-08-14 11:09:00+00:00,238.21,238.25,238.16,238.25,4419.0,106.0,238.206443
TSLA,2023-08-14 11:10:00+00:00,238.2,238.22,238.16,238.17,3511.0,89.0,238.183643
TSLA,2023-08-14 11:11:00+00:00,238.18,238.2,238.16,238.2,1485.0,54.0,238.172936
TSLA,2023-08-14 11:12:00+00:00,238.18,238.18,238.0,238.15,24976.0,698.0,238.046797
TSLA,2023-08-14 11:13:00+00:00,238.15,238.24,238.09,238.09,6428.0,114.0,238.140888
TSLA,2023-08-14 11:14:00+00:00,238.09,238.18,238.0,238.0,15311.0,356.0,238.071991
TSLA,2023-08-14 11:15:00+00:00,238.0,238.1,237.9,238.0,21355.0,367.0,238.021961
TSLA,2023-08-14 11:16:00+00:00,238.0,238.01,237.9,238.0,8537.0,167.0,237.95557
TSLA,2023-08-14 11:17:00+00:00,238.02,238.23,238.02,238.22,10638.0,108.0,238.110891
TSLA,2023-08-14 11:18:00+00:00,238.22,238.29,238.13,238.13,8949.0,150.0,238.221057
TSLA,2023-08-14 11:19:00+00:00,238.1,238.2,238.1,238.2,3321.0,69.0,238.145769
TSLA,2023-08-14 11:20:00+00:00,238.15,238.15,238.1,238.1,2005.0,51.0,238.12981
TSLA,2023-08-14 11:21:00+00:00,238.1,238.14,238.0,238.0,9059.0,172.0,238.051814
TSLA,2023-08-14 11:22:00+00:00,237.9,238.0,237.85,237.9,11199.0,257.0,237.906246
TSLA,2023-08-14 11:23:00+00:00,237.86,237.88,237.66,237.7,26783.0,500.0,237.777458
TSLA,2023-08-14 11:24:00+00:00,237.72,237.87,237.52,237.55,16804.0,374.0,237.700253
TSLA,2023-08-14 11:25:00+00:00,237.62,237.62,237.33,237.33,20959.0,484.0,237.474391
TSLA,2023-08-14 11:26:00+00:00,237.38,237.42,237.14,237.14,19785.0,363.0,237.283397
TSLA,2023-08-14 11:27:00+00:00,237.18,237.18,236.93,237.15,35465.0,1108.0,237.049114
TSLA,2023-08-14 11:28:00+00:00,237.18,237.24,237.1,237.1,11404.0,235.0,237.172693
TSLA,2023-08-14 11:29:00+00:00,237.05,237.05,236.89,237.0,17208.0,375.0,236.976826
TSLA,2023-08-14 11:30:00+00:00,237.0,237.29,236.9,236.9,30273.0,424.0,237.053761
TSLA,2023-08-14 11:31:00+00:00,237.04,237.14,237.04,237.14,4679.0,114.0,237.085061
TSLA,2023-08-14 11:32:00+00:00,237.14,237.19,237.06,237.06,5299.0,119.0,237.127447
TSLA,2023-08-14 11:33:00+00:00,237.06,237.06,236.9,236.93,9359.0,210.0,236.957553
TSLA,2023-08-14 11:34:00+00:00,236.96,237.0,236.82,237.0,15817.0,266.0,236.925715
TSLA,2023-08-14 11:35:00+00:00,237.01,237.01,236.95,236.98,2832.0,77.0,236.986349
TSLA,2023-08-14 11:36:00+00:00,236.95,236.95,236.82,236.9,5679.0,186.0,236.887626
TSLA,2023-08-14 11:37:00+00:00,236.99,237.02,236.97,237.02,7631.0,173.0,237.014908
TSLA,2023-08-14 11:38:00+00:00,237.1,237.15,237.0,237.15,10472.0,200.0,237.081197
TSLA,2023-08-14 11:39:00+00:00,237.15,237.16,237.05,237.07,11478.0,156.0,237.100515
TSLA,2023-08-14 11:40:00+00:00,237.1,237.3,237.1,237.2,6319.0,157.0,237.206694
TSLA,2023-08-14 11:41:00+00:00,237.22,237.3,237.2,237.3,5014.0,132.0,237.226496
TSLA,2023-08-14 11:42:00+00:00,237.32,237.34,237.25,237.25,3574.0,109.0,237.291698
TSLA,2023-08-14 11:43:00+00:00,237.22,237.22,237.14,237.18,4191.0,121.0,237.173865
TSLA,2023-08-14 11:44:00+00:00,237.12,237.17,237.02,237.09,6907.0,152.0,237.09497
TSLA,2023-08-14 11:45:00+00:00,237.08,237.08,236.9,236.92,7667.0,234.0,236.991527
TSLA,2023-08-14 11:46:00+00:00,236.92,236.92,236.83,236.88,7747.0,224.0,236.884953
TSLA,2023-08-14 11:47:00+00:00,236.85,236.88,236.65,236.79,19680.0,465.0,236.746989
