symbol,volume,last_price,time,p_change,ch_percentage,extended_hours_price,ehp_percentage,datetime
TSLA,62113270,266.25,1694443963,17.75,7.14,,,2023-09-11 14:52:43
TSLA,62115802,,1694443966,,,,,2023-09-11 14:52:46
TSLA,62119355,266.23,1694443968,17.73,7.13,,,2023-09-11 14:52:48
TSLA,62121155,266.2,1694443970,17.7,7.12,,,2023-09-11 14:52:50
TSLA,62121571,266.22,1694443972,17.72,7.13,,,2023-09-11 14:52:52
TSLA,62122989,266.19,1694443975,17.69,7.12,,,2023-09-11 14:52:55
TSLA,62133354,266.2,1694443977,17.7,,,,2023-09-11 14:52:57
TSLA,62134125,266.15,1694443979,17.65,7.1,,,2023-09-11 14:52:59
TSLA,62135682,266.11,1694443981,17.61,7.09,,,2023-09-11 14:53:01
TSLA,62135703,266.09,1694443982,17.59,7.08,,,2023-09-11 14:53:02
TSLA,62136821,266.11,1694443983,17.61,7.09,,,2023-09-11 14:53:03
TSLA,62136933,,1694443986,,,,,2023-09-11 14:53:06
TSLA,62142557,266.04,1694443988,17.54,7.06,,,2023-09-11 14:53:08
TSLA,62143353,266.0,1694443990,17.5,7.04,,,2023-09-11 14:53:10
TSLA,62144948,265.91,1694443992,17.41,7.01,,,2023-09-11 14:53:12
TSLA,62146936,266.06,1694443994,17.56,7.07,,,2023-09-11 14:53:14
