symbol,timestamp,open,high,low,close,volume,trade_count,vwap
GOOGL,2023-08-07 12:53:00+00:00,129.01,129.05,129.01,129.05,5999.0,38.0,129.020852
GOOGL,2023-08-07 12:54:00+00:00,129.05,129.05,129.0202,129.0202,10513.0,37.0,129.045317
GOOGL,2023-08-07 12:55:00+00:00,129.08,129.09,129.06,129.06,2221.0,74.0,129.068811
GOOGL,2023-08-07 12:56:00+00:00,129.09,129.12,129.07,129.07,7969.0,93.0,129.083249
GOOGL,2023-08-07 12:57:00+00:00,129.08,129.08,129.08,129.08,1136.0,13.0,129.076972
GOOGL,2023-08-07 12:58:00+00:00,129.0799,129.0799,129.0799,129.0799,278.0,8.0,129.070791
GOOGL,2023-08-07 13:00:00+00:00,129.08,129.08,129.08,129.08,232.0,11.0,129.075388
GOOGL,2023-08-07 13:01:00+00:00,129.01,129.01,129.01,129.01,397.0,24.0,129.031814
GOOGL,2023-08-07 13:02:00+00:00,129.0678,129.07,129.0,129.0,3171.0,54.0,129.023278
GOOGL,2023-08-07 13:03:00+00:00,129.07,129.07,128.97,128.97,3898.0,49.0,129.00882
GOOGL,2023-08-07 13:04:00+00:00,128.98,129.03,128.97,128.98,1180.0,28.0,128.987746
GOOGL,2023-08-07 13:06:00+00:00,129.03,129.03,129.02,129.02,590.0,27.0,129.036797
GOOGL,2023-08-07 13:07:00+00:00,128.99,129.03,128.99,129.03,708.0,18.0,129.013545
GOOGL,2023-08-07 13:08:00+00:00,128.99,128.99,128.99,128.99,712.0,30.0,128.996544
GOOGL,2023-08-07 13:09:00+00:00,129.06,129.07,129.06,129.07,997.0,26.0,129.062693
GOOGL,2023-08-07 13:10:00+00:00,129.07,129.1,129.07,129.0901,2984.0,49.0,129.089003
