symbol,timestamp,open,high,low,close,volume,trade_count,vwap
SPY,2023-06-08 15:00:00+00:00,427.98,428.35,427.78,428.0,6443128.0,58094.0,428.087092
SPY,2023-06-08 16:00:00+00:00,428.0,429.2,427.71,428.6215,6755782.0,61168.0,428.611355
SPY,2023-06-08 17:00:00+00:00,428.63,428.83,427.71,428.21,6850723.0,51273.0,428.327992
SPY,2023-06-08 18:00:00+00:00,428.215,429.08,427.99,428.95,5831557.0,50589.0,428.691414
SPY,2023-06-08 19:00:00+00:00,428.96,429.6,428.81,429.125,12690707.0,94945.0,429.140448
SPY,2023-06-08 20:00:00+00:00,429.11,429.31,428.84,429.13,7407908.0,4546.0,429.112078
SPY,2023-06-08 21:00:00+00:00,429.15,429.35,428.87,429.04,195512.0,791.0,429.004549
SPY,2023-06-08 22:00:00+00:00,429.07,429.13,428.82,428.98,250993.0,843.0,428.896898
SPY,2023-06-08 23:00:00+00:00,428.98,428.99,428.8,428.84,71442.0,584.0,428.887916
SPY,2023-06-09 08:00:00+00:00,428.41,428.87,428.23,428.87,35185.0,274.0,428.506995
SPY,2023-06-09 09:00:00+00:00,428.84,429.14,428.62,428.7,25190.0,176.0,428.921378
SPY,2023-06-09 10:00:00+00:00,428.75,428.83,428.44,428.7,100977.0,422.0,428.692178
SPY,2023-06-09 11:00:00+00:00,428.7,429.35,428.7,429.14,137182.0,733.0,429.120259
SPY,2023-06-09 12:00:00+00:00,428.6703,429.6399,428.0,429.6399,353123.0,2937.0,429.281445
SPY,2023-06-09 13:00:00+00:00,429.66,431.3,429.43,430.94,7691233.0,73691.0,430.650197
SPY,2023-06-09 14:00:00+00:00,430.94,431.99,430.5,431.095,14892291.0,117248.0,431.439712
SPY,2023-06-09 15:00:00+00:00,431.11,431.63,429.3,429.4499,11527794.0,100757.0,430.281982
SPY,2023-06-09 16:00:00+00:00,429.46,429.92,428.87,429.8,7028722.0,66017.0,429.373513
SPY,2023-06-09 17:00:00+00:00,429.82,430.62,429.64,430.58,7329584.0,59231.0,429.989033
