ROI,Dev Factor,Rsi period,Rsi low,Rsi high,Bollinger Period,Gain value
score,pfast,pslow,high_low_period,high_low_error,gain_value
0.016721000000000052,5,14,17,0.5,1.5
0.013545999999999956,5,14,17,0.6,1.0
0.016721000000000052,5,14,17,0.6,1.5
0.013545999999999956,5,14,17,0.7,1.0
0.016721000000000052,5,14,17,0.7,1.5
0.013545999999999956,5,14,17,0.8,1.0
0.016721000000000052,5,14,17,0.8,1.5
0.013545999999999956,5,14,17,0.9,1.0
0.016721000000000052,5,14,17,0.9,1.5
0.0020252500000000227,5,17,17,0.1,1.0
0.016261749999999863,5,17,17,0.1,1.5
0.0016744999999999146,5,17,17,0.2,1.0
0.003674499999999943,5,17,17,0.2,1.5
0.0015137500000000515,5,17,17,0.3,1.0
0.00456375000000012,5,17,17,0.3,1.5
0.008557880000000084,5,17,17,0.4,1.0
0.011607880000000152,5,17,17,0.4,1.5
0.007161935000000017,5,17,17,0.5,1.0
0.007773805000000127,5,17,17,0.5,1.5
0.007753879999999959,5,17,17,0.6,1.0
0.008365750000000068,5,17,17,0.6,1.5
0.007753879999999959,5,17,17,0.7,1.0
0.008365750000000068,5,17,17,0.7,1.5
0.007753879999999959,5,17,17,0.8,1.0
0.008365750000000068,5,17,17,0.8,1.5
0.007753879999999959,5,17,17,0.9,1.0
0.008365750000000068,5,17,17,0.9,1.5
0.0,5,20,17,0.1,1.0
0.0,5,20,17,0.1,1.5
0.00495450000000015,5,20,17,0.2,1.0
0.015712250000000125,5,20,17,0.2,1.5
0.005118999999999926,5,20,17,0.3,1.0
0.015712250000000125,5,20,17,0.3,1.5
0.005118999999999926,5,20,17,0.4,1.0
0.01576250000000008,5,20,17,0.4,1.5
0.005118999999999926,5,20,17,0.5,1.0
0.01576250000000008,5,20,17,0.5,1.5
0.005692999999999989,5,20,17,0.6,1.0
0.01576250000000008,5,20,17,0.6,1.5
0.005692999999999989,5,20,17,0.7,1.0
0.01576250000000008,5,20,17,0.7,1.5
0.005692999999999989,5,20,17,0.8,1.0
0.01576250000000008,5,20,17,0.8,1.5
0.005692999999999989,5,20,17,0.9,1.0
0.01576250000000008,5,20,17,0.9,1.5
0.008106500000000016,5,23,17,0.1,1.0
0.008106500000000016,5,23,17,0.1,1.5
0.00495450000000015,5,23,17,0.2,1.0
0.007844500000000022,5,23,17,0.2,1.5
0.005118999999999926,5,23,17,0.3,1.0
0.007844500000000022,5,23,17,0.3,1.5
