symbol,volume,last_price,time,p_change,ch_percentage,extended_hours_price,ehp_percentage,datetime
TSLA,62164532.0,265.64,1694444009,17.14,6.9,,,2023-09-11 14:53:29
TSLA,62165539.0,265.68,1694444012,17.18,6.91,,,2023-09-11 14:53:32
TSLA,62167118.0,265.66,1694444014,17.16,,,,2023-09-11 14:53:34
TSLA,62168133.0,265.64,1694444015,17.14,6.9,,,2023-09-11 14:53:35
TSLA,62168151.0,265.65,1694444017,17.15,,,,2023-09-11 14:53:37
TSLA,62168712.0,265.67,1694444019,17.17,6.91,,,2023-09-11 14:53:39
TSLA,62169891.0,265.79,1694444022,17.29,6.96,,,2023-09-11 14:53:42
TSLA,62171618.0,265.91,1694444024,17.41,7.01,,,2023-09-11 14:53:44
TSLA,62172795.0,265.8,1694444026,17.3,6.96,,,2023-09-11 14:53:46
TSLA,62173173.0,265.82,1694444028,17.32,6.97,,,2023-09-11 14:53:48
TSLA,62174360.0,265.92,1694444029,17.42,7.01,,,2023-09-11 14:53:49
TSLA,62174361.0,265.97,1694444031,17.47,7.03,,,2023-09-11 14:53:51
TSLA,62175263.0,,1694444034,,,,,2023-09-11 14:53:54
TSLA,62184558.0,266.15,1694444036,17.65,7.1,,,2023-09-11 14:53:56
TSLA,62185688.0,266.131,1694444038,17.63,7.09,,,2023-09-11 14:53:58
TSLA,62185770.0,266.13,1694444039,,,,,2023-09-11 14:53:59
TSLA,62188250.0,266.05,1694444041,17.55,7.06,,,2023-09-11 14:54:01
TSLA,62190825.0,265.9,1694444044,17.4,7.0,,,2023-09-11 14:54:04
TSLA,62191652.0,265.92,1694444046,17.42,7.01,,,2023-09-11 14:54:06
TSLA,62192451.0,265.87,1694444048,17.37,6.99,,,2023-09-11 14:54:08
TSLA,62194048.0,265.79,1694444050,17.29,6.96,,,2023-09-11 14:54:10
TSLA,62195614.0,265.7,1694444052,17.2,6.92,,,2023-09-11 14:54:12
TSLA,62196616.0,265.83,1694444054,17.33,6.97,,,2023-09-11 14:54:14
TSLA,62196626.0,265.84,1694444055,17.34,6.98,,,2023-09-11 14:54:15
TSLA,62197553.0,265.89,1694444058,17.39,7.0,,,2023-09-11 14:54:18
TSLA,62197942.0,265.88,1694444060,17.38,6.99,,,2023-09-11 14:54:20
TSLA,62198058.0,265.85,1694444062,17.35,6.98,,,2023-09-11 14:54:22
TSLA,62198680.0,265.88,1694444064,17.38,6.99,,,2023-09-11 14:54:24
TSLA,62198750.0,265.855,1694444065,17.36,6.98,,,2023-09-11 14:54:25
TSLA,62198799.0,265.86,1694444068,,6.99,,,2023-09-11 14:54:28
